Company,Star Rating,Current Employee,Work Duration,Review Title,Date Posted,Job Title,Job Location,Recommend,CEO Approval,Business Outlook,Pros,Cons,Advice to Management
Meta,5.0,1,more than 3 years,Marketing Team Sol Eng team is Fantastic,2022-02-03,Solutions Engineer,"San Francisco, CA",2,2,2,"The work life balance of being a solutions engineer is amazing. The marketing team gives Sol eng tons of autonomy to work on interesting projects. At the end of the day, the goal is the improve the advertisers goals",Sometime can be a little dead. Clients are spending less on Meta and hesitant post iOS14 privacy rules.,
Meta,2.0,1,more than 1 year,Worst work life balance,2022-02-18,Data Analyst,"Fremont, CA",-1,1,0,"Holidays
Recognition
Flexibility to work from home","Everything else is a con
Bad work life culture
Overworked employees
No respect for each other free time",
Meta,5.0,1,,Great training and people,2022-02-02,Technical Sourcer,"Northfield, MN",2,2,2,"-the people really care and everyone wants you to be successful 
-the benefits are AMAZING",- for training it can be challenging to work with people on different time zones,
Meta,5.0,1,more than 1 year,Great place to work!,2022-02-02,Sourcer,"Chicago, IL",2,2,2,"Pay and benefits, great management, work alongside smart people, large global impact, diversity",Nothing that I can think of,
Meta,5.0,1,,Great Company,2022-02-02,Recruiter,"Menlo Park, CA",0,0,0,"Good benefits, smart people, challenging work",Always in the media and have negative press,
Meta,4.0,1,,Great place to work,2022-02-16,Art Director,"Menlo Park, CA",0,0,0,They provide really good benefits,"if you are not proactive, might be stressful and hard to do well",
Meta,5.0,1,more than 1 year,Great company,2022-01-26,Employee Relations,"Menlo Park, CA",2,2,2,"Great work life balance, challenging work, innovative products. Excellent work location options (i.e. remote, hybrid or in office).",No real cons working at Meta.,Continue to keep employees informed on company goals and keep the focus on diversity equity and inclusion the top priority
Meta,2.0,0,,Review...,2022-02-17,Human Resources Business Partner HRBP,"San Jose, CA",0,0,0,Benefits are really out of this world.,Culture can be very toxic depending on teams...,
Meta,5.0,1,,Best paid engineer at Facebook,2022-02-01,Senior Software Engineer,"Seattle, WA",0,0,0,I get paid a lot of money,I work for Facebook :(,
Meta,2.0,1,more than 1 year,no,2022-02-15,Software Engineer,"New York, NY",-1,-1,1,"very good
very good
very good
very good","too tired too tired 
too tired too tired 
too tired too tired",too tired too tired
Meta,4.0,1,less than 1 year,Good choice for new grad,2022-02-15,Software Engineer,"Seattle, WA",0,0,0,Great growth opportunities and benefits.,Culture could be better. Volatile stock price recently,
Meta,5.0,1,more than 1 year,"You get to work with amazing, talented and intelligent folks!",2022-01-25,Senior Recruiter,"San Francisco, CA",2,2,2,"What brought me here was the brand, what keeps me here are the challenges we face and the talented and fabulous people that I get to work with and learn from. In the two years that I have been here I have learned more than what I have learned in my entire career. I have learned from how others process information and look things, their approach to solving problems, how they structure information and the flags they raise. I have been able to see 'in action' different perspective that have brought awareness and growth, personally and professionally. The people I work with, is the number one reason I am still, and will continue to work here. A second important factor is the flexibility and multiple options that employees are given for returning to work post-pandemic. We have the ability to request remote work and relocate. Every employee has the option to tailor their work schedules and adopt to suite their life styles. Fair and competitive compensation and benefits are secondary.","Every workplace has opportunities for growth and while not everything is perfect at Meta, no one has said that we have stopped growing. The constant changes indicate the pains of growth and bring hope that things are being looked at and that feedback from employees is being applied. My advise to those who flag issues and are passionate about specific changes is to stick around, work internally and drive change. Don't leave, work and make a change!",Be an active partner and be an engaged coach with your team. Foster skills and talents that are beneficial to the organization and help the team navigate their career growth. Many leaders are already doing this.
Meta,5.0,1,,Fun Company,2022-01-31,Operations Manager,"San Jose, CA",2,2,2,great food and community!! Also good move benefits,There is a lot of politics,
Meta,4.0,1,more than 5 years,Becoming more and more corporate. Still a great place to work.,2022-02-13,Software Engineer,"New York, NY",2,2,2,"- perks
- growth
- culture
- comp","- politics
- competition
- WLB
- Hardware",
Meta,3.0,1,more than 3 years,Tough Place to Work,2022-02-14,Client Partner,"New York, NY",0,0,0,Great comp and overall benefits,Very little work/life balance and extremely demanding,
Meta,5.0,1,,balance,2022-01-30,Software Engineer,"San Francisco, CA",0,0,0,the work life balance is great,there are no cons so far,
Meta,4.0,1,more than 3 years,Meta is a good place for career,2022-02-12,Learning Partner,"New York, NY",2,2,-1,"Benefits , Work Life Balance, Overall","Media Coverage, Growth Opportunity , Diversity","Growth is important, eliminate bias in PSC and ratings."
Meta,4.0,1,,Like it,2022-02-12,Software Engineer,"Menlo Park, CA",0,0,0,Open culture and you can find everyone's post in the company,work-life balance sometimes is not good,
