GE,4.0,1,,good,2022-01-28,General Motors,"Detroit, MI",-1,2,1,good staff but they dont pay well,low pay but the staff is fun to work with,none+
GE,4.0,1,,Great culture,2022-01-28,Account Manager,,2,0,2,Flexibility on how you want to run you’re buisness,Communication between management can be misleading at times,
GE,4.0,0,,great to gain experience at,2022-01-28,Project Manager,"Chicago, IL",0,0,0,good company to work at,office politics can get in the way,
GE,5.0,1,more than 10 years,Great company,2022-01-27,Engineering Manager,"New York, NY",2,0,0,good working culture and great learnings,long working hours and stretch assignments,
GE,5.0,0,less than 1 year,Ergo Ergonomic,2022-01-27,Ergonomic Specialist,,-1,-1,-1,"Ergo was completely finished, great pay","They did not keep me, I am a lean Six Sigma Master Black Belt 

Only use for short time

I cost money use as needed and lay off","Higher numbers, but the I wait for more work"
GE,5.0,0,more than 1 year,Good,2022-01-27,Anonymous Employee,,0,0,0,Enjoyed it too much for me,None nice nice nine nine,
GE,4.0,1,,Need improvement,2022-01-27,Senior Engineer,,0,0,0,Value you family and work life and ok benefits,Pay scale is off compared to sites close by.,
GE,4.0,1,,GE Gas Power,2022-01-28,Mechanical Engineer,"Schenectady, NY",0,0,0,Salary is very good for industry.,Large company where you may not always be rewarded for your work.,
GE,4.0,1,more than 1 year,Good,2022-01-28,Anonymous Employee,,0,0,0,Goood people culture hehe I,Oh my gosh great company,
GE,3.0,1,,Decent,2022-02-10,Director,"Huntsville, AL",0,0,0,salary is pretty decent for area,leadership needs some help managing,
GE,5.0,1,,FMP,2022-01-26,Financial Management Program (FMP),"Albany, NY",2,2,2,"Challenging
Exposure
Leadership and Knowledge of Leadership
Opportunity
Recognition","Hours
Study Material outside of day to day job",
GE,4.0,0,,Best Employer Ever,2022-01-26,Commercial Learning Leader,,2,2,2,"Clear objectives and responsibilities
Great compensation, incentives and rewards
Challenging and engaging work",Selling off their GE Capital businesses meant my position was eliminated,
GE,4.0,1,,Struggling,2022-01-25,Senior Sourcing Manager,"Hartford, CT",0,0,0,People are trying to do better,Market trend is not favorable to the company,
GE,5.0,0,,Great Company,2022-01-24,Administrative,,0,0,0,"Chalenging, fair, multicultural, dinamic and trustful.",growth based mostly on politics,
GE,4.0,1,,Corporate ruins everything,2022-01-24,Wind Technician,"Rankin, TX",2,0,2,Good paid time off opportunities and great training,Corporate gets as involved with slowing down work as they can without actually doing anything productive,
GE,3.0,1,,GE,2022-02-08,Media Buyer,"Newark, OH",0,0,0,"Great Place to work, plus stable",Could work remote from anywhere,
GE,5.0,0,,Good place to work,2022-01-23,Anonymous Employee,,0,0,0,"good brand, good development, feedback","tough hours, long days, weekend",
GE,5.0,1,more than 5 years,All good,2022-01-23,Director,"Miami, FL",2,2,0,"Great big company, with many oportunities","A bit boring, depend in what you like.",
GE,5.0,1,,best,2022-01-24,Analyst,"Boston, MA",0,0,0,very good place and will work again as I made good freinds and more friends,nothing that I had to deal with,
GE,3.0,0,more than 3 years,Good company,2022-02-06,Information Technology,,0,0,0,Liked the company and products.,Felt like middle/senior management lost their way and fell off the mission a lot of the time.,
GE,4.0,1,more than 10 years,Quality Program,2022-01-23,Biomedical Engineer,"Houston, TX",2,2,2,"great processes, teammates and customers","there are none cons, good company",
